[2023-10-09 12:30:34] local.INFO:  ["1","3.00"] 
[2023-10-09 12:30:35] local.INFO:  ["35.6","3.00"] 
[2023-10-09 12:30:35] local.INFO:  ["20.0","3.00"] 
[2023-10-09 12:30:36] local.INFO:  ["29.5","3.00"] 
[2023-10-09 12:30:36] local.INFO:  ["21.8","3.00"] 
[2023-10-09 12:30:37] local.INFO:  ["34.6","3.00"] 
[2023-10-09 12:30:37] local.INFO:  ["30.2","3.00"] 
[2023-10-09 12:30:38] local.INFO:  ["32.4","3.00"] 
[2023-10-09 12:30:38] local.INFO:  ["22.6","3.00"] 
[2023-10-09 12:30:38] local.INFO:  ["23.0","3.00"] 
